user_id,norm_implicit
"1000049","2.82843"
"1000051","2.44949"
"1000082","1.73205"
"1000240","2.82843"
"1000366","5.47723"
"1000450","2.82843"
"100050","2"
"1000505","1.73205"
"1000633","2.82843"
"1000812","4"
"1000917","2.44949"
"1001005","1.41421"
"1001023","1"
"1001064","1"
"1001099","4.69042"
"10012","2.64575"
"1001283","4.79583"
"1001290","2"
"1001539","8.88819"
"1001684","1"
"1001763","2"
"1001850","5.38516"
"1001915","4.58258"
"1002013","1.73205"
"100202","4.3589"
"1002154","2.82843"
"1002187","4.24264"
"1002222","2.23607"
"1002227","4.24264"
"1002282","2.82843"
"100235","1"
"1002352","5.56776"
"1002413","2.44949"
"1002458","3.4641"
"1002504","2.44949"
"100258","3.60555"
"1002610","2.23607"
"1002754","2.82843"
"1002816","6.63325"
"1002891","4.24264"
"1002932","1"
"1002981","1"
"1003001","4.89898"
"1003091","2.82843"
"1003169","5"
"1003355","1"
"1003434","1.73205"
"1003554","1"
"1003604","1"
"1003811","2.64575"
"1003835","4.79583"
"1003839","3.60555"
"1003865","4.69042"
"1003878","11.5326"
"1003929","5.47723"
"100399","3"
"100412","1"
"100426","1.41421"
"10044","2.23607"
"1004442","1"
"1004471","2.82843"
"1004540","1.41421"
"1004644","4.24264"
"1004786","2.64575"
"1004869","1"
"1004879","1.41421"
"1005053","8.3666"
"1005164","3.16228"
"100521","2.82843"
"1005265","2.23607"
"100528","5.91608"
"1005299","2.23607"
"1005332","1.41421"
"1005347","6"
"1005416","7.07107"
"1005418","2.82843"
"1005432","1.41421"
"1005497","8.60233"
"1005612","2"
"1005659","2.82843"
"1005755","1"
"1005794","2.23607"
"1005833","7.74597"
"1005851","4.12311"
"1005898","2.82843"
"1006028","6"
"1006047","2"
"1006216","2.44949"
"1006286","1"
"1006490","1"
"1006503","1"
"1006550","2.44949"
"1006643","1.73205"
"1006768","6.08276"
"1006791","13.2665"
"1007005","2.82843"
"1007058","2"
"1007185","1"
"1007289","4.3589"
"100730","2.64575"
"1007305","2.44949"
"1007376","6"
"1007416","1.73205"
"1007481","1"
"1007502","9"
"1007534","1.41421"
"1007543","3.16228"
"1007545","2.23607"
"1007547","5.19615"
"1007751","5.38516"
"1007780","1.41421"
"1007858","4.69042"
"1007866","3.74166"
"1007928","1.41421"
"1007962","1.73205"
"1008014","1"
"100803","3.74166"
"1008137","5.56776"
"1008176","6.32456"
"1008240","1"
"1008582","1"
"1008639","3.16228"
"1008646","4.58258"
