user_id,career_level,discipline_id,industry_id,country,region,experience_n_entries_class,experience_years_experience,experience_years_in_current,edu_degree_average_rating
"1000010",NULL,"0","0","de","0",NULL,NULL,NULL,"0","0"
"1000049","3","13","9","de","1","3","4","3","2","1"
"1000051","0","0","10","de","1","3","0","0","0","1"
"1000082","3","8","18","de","1","3","5","2","0","1"
"1000240","0","3","21","de","6","2","4","1","0","1"
"1000360","0","0","0","non_dach","0","1","5","4","2","0"
"1000366","3","0","17","de","1","2","5","4","2","1.02222"
"1000450","0","0","8","ch","0","1","4","3","0","1"
"100050",NULL,"0","0","de","1","1","0","0","0","1"
"1000505",NULL,"0","0","non_dach","0","3","7","0","0","1.33333"
"1000633","3","0","0","de","0","3","6","5","3","1"
"1000812",NULL,"0","0","de","10","2","3","0","2","1.14688"
"1000885",NULL,"0","0","de","7","1","6","0","2","0"
"1000917","0","0","9","de","10","3","5","2","2","1"
"1001005","0","0","21","de","7","1","0","0","0","1"
"1001023","4","20","9","de","1","3","7","1","0","1"
"1001064","0","0","1","at","0","1","0","0","0","1"
"1001099","3","0","0","de","0","3","5","2","1","1"
"10012","6","14","15","de","1","3","7","2","0","1.40476"
"1001283",NULL,"0","0","de","2","2","2","0","2","1"
"1001290","3","0","0","de","0","3","7","3","2","1"
"1001522","4","0","0","de","0","2","7","2","0","0"
"1001539","4","0","17","de","2","3","7","4","0","1"
"1001684","3","9","15","de","0","3","7","4","0","1"
"1001763",NULL,"0","0","de","2","2","4","1","0","1"
"1001850",NULL,"0","0","de","4","3","4","4","2","1.09196"
"1001889","4","0","0","de","0","3","4","1","0","0"
"1001915","0","0","2","de","9","2","4","2","0","1.04762"
"1002013","3","3","1","de","9","2","4","1","0","1.1111"
"100202","0","18","10","de","10","2","3","1","2","1"
"1002154","3","14","21","de","9","1","3","3","0","1.81666"
"1002187","4","0","0","de","0","1","3","2","0","1.01852"
"1002222","5","0","1","de","10","3","7","2","0","1"
"1002227","0","0","18","de","10","3","4","1","0","1"
"1002282","1","0","0","de","0","2","4","2","2","1.375"
"100235","6","0","0","de","0","1","4","4","0","1"
"1002352","3","1","7","de","9","3","6","3","0","1.03226"
"1002413","0","0","8","de","7","3","7","4","0","1"
"1002458","1","0","0","de","0","3","4","1","2","1.02083"
"1002504","3","10","1","de","2","3","5","1","0","1.11112"
"100258","0","0","0","de","0","3","7","4","0","1.00855"
"1002610","3","23","9","de","2","1","0","0","0","1"
"1002754","0","0","0","de","0","2","5","3","0","1"
"1002816","3","14","15","de","13","3","6","1","3","1.05909"
"1002891","3","15","9","de","1","1","6","6","0","1.05556"
"1002932",NULL,"0","0","de","9","1","0","0","1","1"
"1002981","2","0","0","de","0","1","4","2","2","1"
"1003001",NULL,"0","0","de","9","2","4","0","0","1.05555"
"1003091","0","0","21","de","9","2","7","5","0","1"
"1003169","3","0","21","de","7","3","5","2","2","1.07"
"1003355","0","0","8","de","9","2","5","1","0","1"
"1003434","3","3","8","de","6","3","4","2","0","1"
"1003554",NULL,"0","0","at","0","3","5","0","1","1"
"1003559","4","0","0","de","0","3","7","2","0","0"
"1003604","3","0","2","de","9","3","6","4","0","1"
"1003811",NULL,"0","0","de","6","3","3","0","1","1"
"1003835",NULL,"0","0","de","0","2","5","0","0","1.09783"
"1003839","4","0","14","de","3","1","0","0","0","1"
"1003865","5","0","0","de","0","3","0","0","2","1.02727"
"1003878","4","0","0","de","0","3","4","1","0","1.12118"
"1003879","0","16","15","at","0","1","0","0","0","0"
"1003929","0","0","15","de","9","3","6","3","0","1"
"100399",NULL,"0","0","de","3","1","0","0","0","1"
"100412","4","3","1","ch","0","3","7","2","0","1"
"100426","0","0","1","de","1","3","5","3","0","1"
"10044","3","0","0","de","0","3","7","3","0","1"
"1004442","3","20","19","de","1","2","4","1","0","1"
"1004471",NULL,"0","0","de","9","1","0","0","0","1"
"1004540",NULL,"0","0","de","7","3","4","1","2","1"
"1004644",NULL,"0","0","non_dach","0","2","5","0","0","1.07407"
"1004653",NULL,"0","0","de","10","3","4","1","1","0"
"1004786","5","0","0","de","0","3","5","2","1","1"
"1004869","3","14","15","de","10","1","0","0","0","1"
"1004879",NULL,"0","0","de","7","2","4","0","3","1.5"
"1005053","0","21","15","de","7","1","0","0","0","1.13381"
"1005164","3","12","16","de","0","2","5","2","0","1"
"100521",NULL,"0","0","de","9","2","4","3","2","1"
"1005265","2","0","0","de","0","2","4","4","0","1"
"100527","3","3","22","de","2","3","5","2","0","0"
"100528",NULL,"0","0","de","2","3","7","0","0","1"
"1005299","4","0","0","de","0","1","5","5","0","1"
"1005332","3","8","18","de","3","3","6","2","0","1"
"1005347","4","3","1","de","2","3","5","2","0","1.05556"
"1005416","4","2","14","de","2","3","2","2","0","1"
"1005418","0","0","21","de","10","3","6","4","0","1"
"1005432",NULL,"0","0","de","1","1","0","0","0","1"
"1005497","0","0","21","de","0","1","0","0","0","1.01351"
"1005612","4","3","19","de","10","3","5","3","2","1.25"
"100565","4","0","7","de","1","3","6","4","0","0"
"1005659","3","9","21","de","2","3","5","2","2","1"
"1005755","0","0","1","de","1","1","4","0","0","1"
"1005794","3","0","0","non_dach","0","3","4","0","2","1"
"1005833","0","0","0","at","0","3","5","2","0","1"
"1005851","3","0","0","de","0","3","4","1","2","1.02941"
"1005898",NULL,"0","0","de","2","3","0","0","0","1"
"1006028","3","0","21","de","2","2","6","4","0","1.01905"
"1006047",NULL,"0","0","de","2","1","0","0","0","1"
"1006216","3","7","10","non_dach","0","3","4","2","2","1"
"1006286",NULL,"0","0","de","2","3","4","3","1","1"
"1006490","0","0","18","de","9","1","0","0","0","1"
"1006503","6","14","21","non_dach","0","3","7","4","2","1"
"1006550","4","0","1","de","13","2","4","3","2","1"
"1006643","3","0","18","ch","0","3","6","3","0","1"
"1006768","3","8","21","de","6","3","5","3","0","1.24399"
"1006791","3","0","0","de","0","3","7","1","0","1.03011"
"1007005","4","0","0","de","0","3","6","3","1","1"
"1007058","0","0","0","de","0","2","3","1","2","1"
"1007091","3","0","4","de","9","3","6","3","0","0"
"1007185","3","18","9","de","2","1","5","5","0","1"
"1007289","0","0","2","de","9","1","0","0","0","1"
"100730","2","13","1","de","9","3","4","1","2","1.05714"
"1007305","2","0","0","de","0","3","7","3","0","1"
"1007376",NULL,"0","0","de","7","3","5","4","1","1.05833"
"1007416","0","0","15","de","9","1","0","0","0","1"
"1007481",NULL,"0","0","de","6","3","4","1","2","1"
"1007502","0","0","0","de","0","3","4","2","1","1"
"1007534",NULL,"0","0","ch","0","2","4","0","0","1"
"1007543","5","0","0","de","0","3","4","4","0","1"
"1007545","3","0","0","de","0","3","7","4","2","1"
"1007547","0","0","1","de","1","1","0","0","0","1"
"1007751","3","12","16","de","1","1","4","3","0","1"
"1007780",NULL,"0","0","de","1","2","3","0","1","1.5"
"1007858",NULL,"0","0","de","3","2","4","3","2","1.08766"
"1007866","0","0","0","de","0","1","4","4","0","1.07143"
"1007928","0","0","2","de","2","2","5","3","2","1"
"1007962","0","0","18","de","6","2","7","4","0","1"
"1008014","3","0","0","de","0","1","2","2","1","1"
"100803",NULL,"0","0","at","0","3","5","4","0","1"
"1008098","3","2","15","de","1","3","4","2","0","0"
"1008137","0","0","14","de","6","3","5","1","0","1.0215"
"1008176","0","0","1","de","0","1","2","2","0","1"
"1008240","0","14","21","ch","0","3","6","2","0","1"
"1008259",NULL,"0","0","de","7","2","5","3","0","0"
"1008582","0","0","0","de","0","3","4","2","1","1"
"1008639","0","0","22","de","7","3","7","3","0","1"
"1008646","3","13","1","de","10","2","4","2","1","1"
"1008725","0","17","3","de","3","3","5","1","3","1"
"1008858",NULL,"0","0","de","9","2","4","0","0","1.05"
"1008931","4","9","8","de","2","3","7","3","2","1.06818"
"1008950","0","0","21","non_dach","0","1","0","0","0","1.37401"
"100896","3","3","1","de","7","1","4","4","0","1.07895"
"1009012",NULL,"0","0","at","0","1","0","0","0","1.02564"
"1009055","3","0","0","de","0","2","4","3","1","1"
"1009116",NULL,"0","0","de","1","1","0","0","0","1"
"1009171","4","2","21","de","3","3","4","2","2","1"
"1009213","3","9","18","de","9","1","0","0","0","0"
"1009271","4","0","0","de","0","3","6","3","0","1"
"1009421","0","0","6","de","1","1","0","0","0","1"
"1009474",NULL,"0","0","de","2","1","2","0","2","1.48605"
"100951","3","0","9","de","1","3","6","3","0","1"
"1009567","3","20","22","ch","0","3","4","1","0","1"
"1009581",NULL,"0","0","de","0","1","0","0","0","1"
"1009650","0","0","21","de","3","3","4","2","0","1"
"1009676","0","0","0","at","0","3","6","3","0","0"
"1009945",NULL,"0","0","de","2","1","0","0","0","1.24"
"1010150","2","0","0","de","0","2","3","1","0","0"
"1010166","0","23","21","de","1","1","4","3","0","1"
"1010271","3","0","21","de","2","3","5","4","0","1.10866"
"1010291","3","23","8","de","2","3","6","2","0","1"
"1010543",NULL,"0","0","de","6","2","4","0","2","1"
"101064","3","0","1","de","2","1","4","4","0","1"
"1010718","2","0","21","de","7","1","4","4","0","1"
"1010849","6","14","21","de","7","3","7","5","0","1"
"1010950","4","0","0","de","0","3","6","2","1","1.57562"
"1011011","6","19","8","de","0","3","7","2","2","1"
"1011092","3","14","9","de","1","3","4","2","2","1"
"1011138","3","0","15","de","7","2","5","4","0","1"
"1011208",NULL,"0","0","de","10","3","1","0","0","1.10256"
"1011407",NULL,"0","0","de","5","3","7","0","0","1.25"
"1011438",NULL,"0","0","de","7","1","2","0","0","1"
"1011484","0","6","11","de","6","3","4","2","0","1"
"1011555",NULL,"0","0","de","3","2","4","1","0","1.12"
"1011566","0","0","2","de","13","1","0","0","0","1"
"101162","3","14","1","de","1","2","5","4","0","1"
"1011666","2","0","0","de","0","1","2","1","0","1"
"1011774",NULL,"0","0","non_dach","0","2","2","0","1","1.08334"
"1011830",NULL,"0","0","de","9","3","0","0","0","1.07937"
"1011878","0","0","14","de","7","2","4","2","2","1.11111"
"1011914","4","0","0","de","0","3","6","3","3","1.06851"
"1011944",NULL,"0","0","de","1","3","4","1","1","1"
"1011957",NULL,"0","0","de","9","2","5","0","0","1.50238"
"1012009",NULL,"0","0","de","4","3","7","1","0","1.00901"
"1012020",NULL,"0","0","de","9","2","2","2","0","1"
"1012023","0","0","0","de","0","2","7","3","0","1"
"1012049","0","0","0","de","0","2","4","3","2","1.10345"
"1012096","5","0","0","de","0","3","7","4","0","1.34285"
"1012106","0","0","12","de","9","2","2","1","0","1"
"1012110","0","0","19","de","0","1","0","0","0","1.125"
"1012115","6","0","0","de","0","3","6","4","2","1"
"101222","0","2","14","de","3","3","4","2","2","1.09722"
"1012343",NULL,"0","0","de","15","2","2","0","1","1.02174"
"101236","0","0","8","de","9","2","4","1","2","1"
"1012377","0","0","21","de","2","2","6","5","3","1"
"1012649","0","0","0","de","0","3","4","1","2","1"
"101276","2","0","0","de","0","2","5","5","1","1"
"1012797",NULL,"0","0","de","1","1","0","0","0","0"
"1012861","3","0","0","de","0","3","5","3","0","1"
"1012978","3","0","12","non_dach","0","3","4","2","1","1.1413"
"1013020","3","0","21","de","2","1","5","4","1","1"
"1013075","4","6","11","de","7","3","4","1","2","1"
"10131","3","0","0","de","0","3","5","2","0","1"
"101316",NULL,"0","0","de","9","1","6","4","0","0"
"1013220",NULL,"0","0","de","1","1","4","0","2","0"
"1013286","3","0","0","de","0","3","4","1","1","1.06667"
"1013304","3","13","1","at","0","3","7","2","0","1"
"1013430","6","0","14","de","3","3","7","5","2","1"
"1013470","3","0","0","de","0","3","6","4","0","1"
"1013529","0","0","0","de","0","3","3","2","2","1"
"1013600","3","0","1","de","1","2","5","3","2","1"
"1013649","0","0","0","de","0","3","4","2","2","1"
